gene,log2_fold_change,p_value,padj
PRSS35,-2.2121268437794983,0.0004709025808883075,0.040590058388939185
TRO,-0.721845557506978,0.0005063404064852152,0.0412603554758405
C12orf65,-0.308787377315185,0.0005202136552104969,0.0412603554758405
SQRDL,1.0059070568747863,0.0004902045423533939,0.0412603554758405
MGAT1,0.9008996822127191,0.0004838430143378291,0.0412603554758405
SERPINA3,3.1561615536657577,0.0005040631508093993,0.0412603554758405
ENTPD6,0.44241985518470583,0.0005265468816364297,0.0412603554758405
PAIP2,0.3158843151203108,0.0005261689982923237,0.0412603554758405
FOXO3,1.2237251356542815,0.0004968832609945334,0.0412603554758405
SVIL,-0.5110892141417676,0.0005194134753807551,0.0412603554758405
NAPG,0.3879142086372074,0.0005016488434782057,0.0412603554758405
ANXA2,0.6808317367167884,0.0005179717138942599,0.0412603554758405
PEAK1,0.966626891063525,0.0004938118180309062,0.0412603554758405
RND2,-1.3966564078665575,0.0004827293429346962,0.0412603554758405
CBX5,-0.49559949323596664,0.0005235463361144871,0.0412603554758405
PCYT2,0.9746374133412634,0.0005195119931194459,0.0412603554758405
ZNF713,-0.3107711976427899,0.0005248831348618759,0.0412603554758405
UFSP2,-0.38589103716535167,0.00048813013683971147,0.0412603554758405
RNF20,-0.33944364730037346,0.0005128070319035268,0.0412603554758405
C12orf32,-0.5330951582777987,0.0004863975772926901,0.0412603554758405
COL7A1,1.0892531664428944,0.0004995796982579008,0.0412603554758405
SNORA26,3.9232773029359906,0.0004900258007111828,0.0412603554758405
SCAI,-0.3607806329578056,0.0005203453846464448,0.0412603554758405
C9orf129,0.9437639034778389,0.0005036923496779988,0.0412603554758405
ERGIC1,0.7331702308394714,0.0005020579353012204,0.0412603554758405
DLGAP4,-0.24733873169854093,0.0005248264414608734,0.0412603554758405
WDR85,-0.27114912882348063,0.0005153481546541382,0.0412603554758405
GPX8,-0.5234436899587642,0.0005246210235287163,0.0412603554758405
ASB13,0.6941737828077144,0.0005420200505468558,0.04163179087913193
WDR63,-0.9247925348618533,0.0005347192103542132,0.04163179087913193
MAFK,0.6531828457643423,0.000541051419297104,0.04163179087913193
NEK11,-0.9200623067567966,0.0005389120488293521,0.04163179087913193
TCEAL1,0.9473710298511273,0.000539478627810295,0.04163179087913193
TBX18,-1.7550401364059498,0.0005401820646507228,0.04163179087913193
FAM63B,0.8362581383820884,0.0005488891623382521,0.04188294254130538
ADAMTS2,0.6408717785612632,0.0005487688745513521,0.04188294254130538
AMMECR1L,0.3223320577926474,0.000554502525891443,0.04217299766363253
NINL,-0.4767469266989419,0.0005588375995792584,0.042312062605958094
PITPNB,0.3313597935337267,0.0005619513161089492,0.042312062605958094
BNC2,-0.7814771490897017,0.0005630721674440149,0.042312062605958094
PINK1,0.3393183224582561,0.0005636032917048515,0.042312062605958094
EXOC6B,-0.4251072302733121,0.0005676641408415256,0.042479895658536417
C20orf194,0.31150141225898764,0.0005785468812419173,0.04309223916655138
RWDD4,1.0499494048824616,0.0005898941641095181,0.04309223916655138
HIATL1,0.3575100068690036,0.0005925113450477567,0.04309223916655138
ATP1A1,0.41234223626375144,0.0005910150315064705,0.04309223916655138
PPP1R12C,0.643457875178334,0.0005855658593484992,0.04309223916655138
LOC100129845,-0.13620562404073266,0.000585938730100038,0.04309223916655138
NONO,-0.3813653163317481,0.0005904393448598524,0.04309223916655138
KIF5B,0.5662085298961346,0.0005897779252821177,0.04309223916655138
DNM1,-1.5385677512838765,0.0005836170438822235,0.04309223916655138
USP33,0.8501939293171112,0.0005954642347160785,0.04317208453129998
TUBA4A,-1.3813637556630431,0.0005998213147453951,0.04335292378282478
YARS,-0.6794821761345835,0.0006043399064727522,0.04354184931601874
